ENTRY; SUMMARY; ACCESS_COMPLEXITY; AUTHENTICATION; CONFIDENTIALITY; INTEGRITY; AVAILABILITY; EXPLOITABILITY; SCORE; PRODUCTS_AFFECTED; PRESENCE; IMPACT; CRITICALITY_FOR_HEALTH; CATEGORY; YEAR 
CVE-2021-37161;A buffer overflow issue was discovered in the HMI3 Control Panel contained within the Swisslog Healthcare Nexus Panel, operated by released versions of software before Nexus Software 7.2.5.7. A buffer overflow allows an attacker to overwrite an internal queue data structure and can lead to remote code execution.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10,0;7,5;2;,09091;,68182;YES;CWE-120;2021
CVE-2021-37162;A buffer overflow issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. If an attacker sends a malformed UDP message, a buffer underflow occurs, leading to an out-of-bounds copy and possible remote code execution.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10,0;7,5;2;,09091;,68182;YES;CWE-120;2021
CVE-2021-37163;An insecure permissions issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus operated by released versions of software before Nexus Software 7.2.5.7. The device has two user accounts with passwords that are hardcoded.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10,0;7,5;2;,09091;,68182;YES;CWE-798;2021
CVE-2021-37164;A buffer overflow issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. In the tcpTxThread function, the received data is copied to a stack buffer. An off-by-3 condition can occur, resulting in a stack-based buffer overflow.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10,0;7,5;2;,09091;,68182;YES;CWE-787;2021
CVE-2021-37165;A buffer overflow issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. When a message is sent to the HMI TCP socket, it is forwarded to the hmiProcessMsg function through the pendingQ, and may lead to remote code execution.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10,0;7,5;2;,09091;,68182;YES;CWE-120;2021
CVE-2021-37166;A buffer overflow issue leading to denial of service was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. When HMI3 starts up, it binds a local service to a TCP port on all interfaces of the device, and takes extensive time for the GUI to connect to the TCP socket, allowing the connection to be hijacked by an external attacker.;LOW;NONE;NONE;NONE;COMPLETE;10,0;7,8;2;,09091;,70909;YES;CWE-120;2021
CVE-2021-37167;An insecure permissions issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. A user logged in using the default credentials can gain root access to the device, which provides permissions for all of the functionality of the device.;LOW;NONE;COMPLETE;COMPLETE;COMPLETE;10,0;10,0;2;,09091;,90909;YES;CWE-276;2021
CVE-2021-39375;Philips Healthcare Tasy Electronic Medical Record (EMR) 3.06 allows SQL injection via the WAdvancedFilter/getDimensionItemsByCode FilterValue parameter.;LOW;SINGLE;PARTIAL;PARTIAL;PARTIAL;8,0;6,5;1;,04545;,29545;NO;CWE-89;2021
CVE-2021-39376;Philips Healthcare Tasy Electronic Medical Record (EMR) 3.06 allows SQL injection via the CorCad_F2/executaConsultaEspecifico IE_CORPO_ASSIST or CD_USUARIO_CONVENIO parameter.;LOW;SINGLE;PARTIAL;PARTIAL;PARTIAL;8,0;6,5;1;,04545;,29545;NO;CWE-89;2021


TOTAL PRODUCTS; 22
