CATEGORY; SUMMARY; NUMBER_OF_VULNERABILITIES; NUMBER_OF_VULNERAILITIES_WITH_CRITICALITY_FOR_HEALTH; AVERAGE_SCORE; PRESENCE; IMPACT 
CWE-352;Cross-Site Request Forgery (CSRF). The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request. When a web server is designed to receive a request from a client without any mechanism for verifying that it was intentionally sent, then it might be possible for an attacker to trick a client into making an unintentional request to the web server which will be treated as an authentic request. This can be done via a URL, image load, XMLHttpRequest, etc. and can result in exposure of data or unintended code execution.;2;1;6,8;,01120;,07620;
CWE-276;Incorrect Default Permissions (During installation, installed file permissions are set to allow anyone to modify those files).;1;1;10,0;,00560;,05600;
CWE-255;Weaknesses in this category are related to the management of credentials.;29;29;9,1621;,16290;1,49250;
CWE-310;Weaknesses in this category are related to the use of cryptography.;9;0;5,4;,05060;,27320;
CWE-112;Missing XML Validation. The software accepts XML from an untrusted source but does not validate the XML against the proper schema. ;1;1;2,1;,00560;,01180;
CWE-476;NULL Pointer Dereference;1;1;6,8;,00560;,03810;
CWE-311;Missing Encryption of Sensitive Data;1;1;2,1;,00560;,01180;
CWE-190;Integer Overflow or Wraparound. The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control. An integer overflow or wraparound occurs when an integer value is incremented to a value that is too large to store in the associated representation. When this occurs, the value may wrap to become a very small or negative number. ;2;1;5,9;,01120;,06610;
CWE-79;Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'). The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.;5;1;4,48;,02810;,12590;
CWE-345;Insufficient Verification of Data Authenticity. The software does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data.  ;1;1;9,3;,00560;,05210;
CWE-125;Out-of-bounds Read. The software reads data past the end, or before the beginning, of the intended buffer. Typically, this can allow attackers to read sensitive information from other memory locations or cause a crash. A crash can occur when the code reads a variable amount of data and assumes that a sentinel exists to stop the read operation, such as a NUL in a string.;2;2;5,0;,01120;,05600;
CWE-346;Origin Validation Error. The software does not properly verify that the source of data or communication is valid. ;1;1;6,0;,00560;,03360;
CWE-269;Improper Privilege Management;2;1;6,5;,01120;,07280;
CWE-522;Insufficiently Protected Credentials;3;2;5,0;,01690;,08450;
CWE-863;Incorrect Authorization. The software performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check. This allows attackers to bypass intended access restrictions. ;2;0;3,35;,01120;,03750;
CWE-787;Out-of-bounds Write. The software writes data past the end, or before the beginning, of the intended buffer. ;2;2;7,5;,01120;,08400;
CWE-601;URL Redirection to Untrusted Site ('Open Redirect'). A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks. An http parameter may contain a URL value and could cause the web application to redirect the request to the specified URL. By modifying the URL value to a malicious site, an attacker may successfully launch a phishing scam and steal user credentials. Because the server name in the modified link is identical to the original site, phishing attempts have a more trustworthy appearance.;1;0;5,8;,00560;,03250;
CWE-326;Inadequate Encryption Strength. The software stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required. A weak encryption scheme can be subjected to brute force attacks that have a reasonable chance of succeeding using current attack methods and resources.;1;0;4,6;,00560;,02580;
CWE-425;Direct Request ('Forced Browsing');2;2;5,0;,01120;,05600;
CWE-306;Missing Authentication for Critical Function. The software does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.;2;2;7,9;,01120;,08850;
CWE-427;Uncontrolled Search Path Element. The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors. ;1;1;6,9;,00560;,03860;
CWE-94;Improper Control of Generation of Code ('Code Injection');1;0;6,8;,00560;,03810;
CWE-284;"Improper Access Control. The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor. Access control involves the use of several protection mechanisms such as: Authentication, Authorization, Accountability. Attackers can compromise the security of the software by gaining privileges, reading sensitive information, executing commands, evading detection, etc.";1;1;4,0;,00560;,02240;
CWE-384;Session Fixation;1;0;7,5;,00560;,04200;
CWE-120;Buffer Copy without Checking Size of Input ('Classic Buffer Overflow');7;4;6,8143;,03930;,26780;
CWE-264;Authentication Bypass by Capture-replay. A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes). Capture-replay attacks are common and can be difficult to defeat without cryptography. They are a subset of network injection attacks that rely on observing previously-sent valid commands, then changing them slightly if necessary and resending the same commands to the server.;2;1;6,45;,01120;,07220;
CWE-287;Improper Authentication. When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct. ;3;1;5,8;,01690;,09800;
CWE-200;Information Exposure. An information exposure is the intentional or unintentional disclosure of information to an actor that is not explicitly authorized to have access to that information. Many information exposures are resultant (e.g. PHP script error revealing the full path of the program), but they can also be primary (e.g. timing discrepancies in cryptography). There are many different types of problems that involve information exposures. Their severity can range widely depending on the type of information that is revealed.;8;3;4,6125;,04490;,20710;
CWE-639;Authorization Bypass Through User-Controlled Key. The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data. ;1;0;5,0;,00560;,02800;
NVD-CWE-Other;Non classified Category;7;0;6,1;,03930;,23970;
NVD-CWE-noinfo;Category with no information;23;5;5,087;,12920;,65720;


TOTAL VULNERABILITIES; 178
