ENTRY; SUMMARY; ACCESS_COMPLEXITY; AUTHENTICATION; CONFIDENTIALITY; INTEGRITY; AVAILABILITY; EXPLOITABILITY; SCORE; PRODUCTS_AFFECTED; PRESENCE; IMPACT; CRITICALITY_FOR_HEALTH; CATEGORY; YEAR 
CVE-2020-12037;Baxter PrismaFlex all versions, PrisMax all versions prior to 3.x, The affected devices do not implement data-in-transit encryption (e.g., TLS/SSL) when configured to send treatment data to a PDMS (Patient Data Management System) or an EMR (Electronic Medical Record) system. An attacker could observe sensitive data sent from the device.;LOW;NONE;PARTIAL;NONE;NONE;10,0;5,0;4;,01674;,08368;YES;CWE-319;2020
CVE-2020-12039;Baxter Sigma Spectrum Infusion Pumps Sigma Spectrum Infusion System v's6.x model 35700BAX & Baxter Spectrum Infusion System v's8.x model 35700BAX2 contain hardcoded passwords when physically entered on the keypad provide access to biomedical menus including device settings, view calibration values, network configuration of Sigma Spectrum WBM if installed.;LOW;NONE;PARTIAL;NONE;NONE;3,9;2,1;3;,01255;,02636;YES;CWE-798;2020
CVE-2020-23829;interface/new/new_comprehensive_save.php in LibreHealth EHR 2.0.0 suffers from an authenticated file upload vulnerability, allowing remote attackers to achieve remote code execution (RCE) on the hosting webserver by uploading a maliciously crafted image.;LOW;SINGLE;PARTIAL;PARTIAL;PARTIAL;8,0;6,5;1;,00418;,02720;NO;CWE-434;2020
CVE-2020-24862;The catID parameter in Pharmacy Medical Store and Sale Point v1.0 has been found to be vulnerable to a Time-Based blind SQL injection via the /medical/inventories.php path which allows attackers to retrieve all databases.;LOW;NONE;PARTIAL;NONE;NONE;10,0;5,0;1;,00418;,02092;NO;CWE-89;2020
CVE-2020-25175;GE Healthcare Imaging and Ultrasound Products may allow specific credentials to be exposed during transport over the network.;LOW;NONE;PARTIAL;NONE;NONE;10,0;5,0;224;,93724;4,68619;NO;CWE-522;2020
CVE-2020-25179;GE Healthcare Imaging and Ultrasound Products may allow specific credentials to be exposed during transport over the network.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10,0;7,5;224;,93724;7,02929;NO;CWE-200;2020
CVE-2020-27278;In Hamilton Medical AG,T1-Ventillator versions 2.2.3 and prior, hard-coded credentials in the ventilator allow attackers with physical access to obtain admin privileges for the deviceâ€™s configuration interface.;LOW;NONE;PARTIAL;PARTIAL;NONE;3,9;3,6;2;,00837;,03013;YES;CWE-798;2020
CVE-2020-27282;In Hamilton Medical AG,T1-Ventillator versions 2.2.3 and prior, an XML validation vulnerability in the ventilator allows privileged attackers with physical access to render the device persistently unusable by uploading specially crafted configuration files.;LOW;NONE;NONE;NONE;PARTIAL;3,9;2,1;2;,00837;,01757;YES;CWE-112;2020
CVE-2020-27290;In Hamilton Medical AG,T1-Ventillator versions 2.2.3 and prior, an information disclosure vulnerability in the ventilator allows attackers with physical access to the configuration interface's logs to get valid checksums for tampered configuration files.;LOW;NONE;PARTIAL;NONE;NONE;3,9;2,1;2;,00837;,01757;YES;CWE-200;2020
CVE-2020-28074;SourceCodester Online Health Care System 1.0 is affected by SQL Injection which allows a potential attacker to bypass the authentication system and become an admin.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10,0;7,5;1;,00418;,03138;NO;CWE-89;2020
CVE-2020-28937;OpenClinic version 0.8.2 is affected by a missing authentication vulnerability that allows unauthenticated users to access any patient's medical test results, possibly resulting in disclosure of Protected Health Information (PHI) stored in the application, via a direct request for the /tests/ URI.;LOW;NONE;PARTIAL;NONE;NONE;10,0;5,0;1;,00418;,02092;YES;CWE-425;2020
CVE-2020-28939;OpenClinic version 0.8.2 is affected by a medical/test_new.php insecure file upload vulnerability. This vulnerability allows authenticated users (with substantial privileges) to upload malicious files, such as PHP web shells, which can lead to arbitrary code execution on the application server.;LOW;SINGLE;PARTIAL;PARTIAL;PARTIAL;8,0;6,5;1;,00418;,02720;YES;CWE-434;2020
CVE-2020-8788;Synaptive Medical ClearCanvas ImageServer 3.0 Alpha allows XSS (and HTML injection) via the Default.aspx UserName parameter. NOTE: the issues/227 reference does not imply that the affected product can be downloaded from GitHub. It was simply a convenient location for a public bug report.;MEDIUM;NONE;NONE;PARTIAL;NONE;8,6;4,3;1;,00418;,01799;NO;CWE-79;2020


TOTAL PRODUCTS; 239
